id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37339163,Rental unit in Jersey City · ★4.92 · 1 bedroom · 1 bed · 1 bath,260294861,Rachel,,Ward F (councilmember Jermaine D. Robinson),40.72288,-74.06519,Entire home/apt,160,2,12,2022-02-21,0.23,1,359,0,
37480718,Rental unit in Jersey City · ★4.75 · 1 bedroom · 1 bed · 1 bath,58763745,Dena,,Ward D (councilmember Michael Yun),40.74439,-74.05889,Entire home/apt,126,5,12,2023-10-14,0.39,3,162,3,
37572610,Rental unit in Jersey City · ★4.80 · 2 bedrooms · 2 beds · 1 bath,283858881,Rebecca And Abel,,Ward B (councilmember Mira Prinz-Arey),40.71865,-74.09038,Entire home/apt,70,5,55,2023-11-14,1.04,1,242,6,
37613420,Rental unit in Jersey City · ★4.86 · 1 bedroom · 1 bed · 3 shared baths,274604030,Mario,,Ward D (councilmember Michael Yun),40.74713,-74.05662,Private room,,30,7,2023-12-01,0.24,10,0,2,
37742859,Rental unit in Jersey City · ★4.93 · 1 bedroom · 1 bed · 1 bath,117372675,Joseph,,Ward E (councilmember James Solomon),40.7224,-74.04668,Entire home/apt,111,4,122,2023-12-17,2.33,2,78,42,
37777141,Place to stay in Jersey City · ★4.62 · 1 bed · 1 shared bath,178535875,Elizabeth,,Ward C (councilmember Richard Boggiano),40.73331,-74.07062,Private room,115,1,73,2023-11-24,1.39,20,353,17,
37779536,Rental unit in Jersey City · ★5.0 · 2 bedrooms · 2 beds · 1 bath,3731511,Monte,,Ward E (councilmember James Solomon),40.71449,-74.03981,Entire home/apt,246,3,26,2023-12-18,0.50,1,126,16,
37807964,Place to stay in Jersey City · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,178535875,Elizabeth,,Ward B (councilmember Mira Prinz-Arey),40.73389,-74.07192,Private room,100,1,54,2023-11-19,1.35,20,266,22,
37882244,Rental unit in Jersey City · ★4.85 · Studio · 1 bed · 1 bath,262010271,Alice And Peter,,Ward C (councilmember Richard Boggiano),40.73988,-74.05053,Entire home/apt,48,30,33,2023-08-12,0.63,2,43,2,
37945496,Rental unit in Jersey City · ★4.84 · 5 bedrooms · 5 beds · 2 baths,255426939,Dennis,,Ward A (councilmember Denise Ridley),40.70616,-74.09201,Entire home/apt,140,28,85,2023-03-16,1.63,1,0,2,
